;Username;Game;In-game-time;Date
0;batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 42s 300ms (in-game time) (251st place);17m 42s 300ms ();2021-04-27
2;batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 53s 750ms (in-game time) (- place);19m 53s 750ms ();2021-02-23
3;batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 07s 800ms (in-game time) (- place);22m 07s 800ms ();2021-02-20
4;batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 19s 700ms (in-game time) (- place);22m 19s 700ms ();2021-01-17
5;batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 17s 750ms (in-game time) (- place);27m 17s 750ms ();2021-01-15
6;batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 28m 11s 550ms (in-game time) (- place);28m 11s 550ms ();2020-12-29
7;batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 44m 24s 100ms (in-game time) (- place);44m 24s 100ms ();2020-12-24
